dayOfTheWeek,wokeBeforeNoon,hasEaten,mealPlanned
Sunday,no,no,Bread
Sunday,no,no,Tofu
Monday,no,no,Yams
Tuesday,no,yes,Steak
Thursday,yes,yes,Yams
Saturday,yes,yes,Tofu
Monday,yes,yes,Eggs
Monday,yes,yes,Eggs
Tuesday,no,yes,Bread
Wednesday,no,yes,Banana
Thursday,yes,yes,Eggs
Friday,no,no,Yams
Friday,yes,yes,Tofu
Saturday,no,yes,Tofu
Monday,no,no,Banana
Friday,no,yes,Yams
Saturday,yes,yes,Steak
Tuesday,yes,yes,Eggs
Sunday,yes,yes,Banana
Saturday,yes,yes,Steak
Thursday,no,no,Steak
Friday,yes,no,Yams
Monday,yes,no,Banana
Tuesday,yes,yes,Waffle
Sunday,no,no,Bread
Wednesday,yes,no,Bread
Thursday,no,yes,Banana
Saturday,yes,no,Yams
Tuesday,yes,no,Waffle
Saturday,no,no,Eggs
Saturday,yes,yes,Steak
Sunday,yes,yes,Bread
