Diagonal, AspectRatio, Ratio
14, 0.0000000000, 0.0000000000
14, 0.1583843043, 2.1631171940
14, 0.3249194029, 4.1144937605
14, 0.5095249481, 5.6631156852
14, 0.7265417171, 6.6573933181
14, 0.9999986732, 7.0000000000
14, 1.3763796163, 6.6573990581
14, 1.9626059993, 5.6631266033
14, 3.0776724217, 4.1145087881
14, 6.3137027194, 2.1631348600
15, 0.0000000000, 0.0000000000
15, 0.1583843043, 2.3176255650
15, 0.3249194029, 4.4083861720
15, 0.5095249481, 6.0676239484
15, 0.7265417171, 7.1329214122
15, 0.9999986732, 7.5000000000
15, 1.3763796163, 7.1329275622
15, 1.9626059993, 6.0676356464
15, 3.0776724217, 4.4084022730
15, 6.3137027194, 2.3176444929
16, 0.0000000000, 0.0000000000
16, 0.1583843043, 2.4721339360
16, 0.3249194029, 4.7022785835
16, 0.5095249481, 6.4721322116
16, 0.7265417171, 7.6084495063
16, 0.9999986732, 8.0000000000
16, 1.3763796163, 7.6084560664
16, 1.9626059993, 6.4721446895
16, 3.0776724217, 4.7022957578
16, 6.3137027194, 2.4721541257
17, 0.0000000000, 0.0000000000
17, 0.1583843043, 2.6266423070
17, 0.3249194029, 4.9961709949
17, 0.5095249481, 6.8766404748
17, 0.7265417171, 8.0839776005
17, 0.9999986732, 8.5000000000
17, 1.3763796163, 8.0839845705
17, 1.9626059993, 6.8766537326
17, 3.0776724217, 4.9961892427
17, 6.3137027194, 2.6266637586
18, 0.0000000000, 0.0000000000
18, 0.1583843043, 2.7811506780
18, 0.3249194029, 5.2900634064
18, 0.5095249481, 7.2811487381
18, 0.7265417171, 8.5595056946
18, 0.9999986732, 9.0000000000
18, 1.3763796163, 8.5595130747
18, 1.9626059993, 7.2811627757
18, 3.0776724217, 5.2900827276
18, 6.3137027194, 2.7811733914
19, 0.0000000000, 0.0000000000
19, 0.1583843043, 2.9356590490
19, 0.3249194029, 5.5839558179
19, 0.5095249481, 7.6856570013
19, 0.7265417171, 9.0350337888
19, 0.9999986732, 9.5000000000
19, 1.3763796163, 9.0350415788
19, 1.9626059993, 7.6856718188
19, 3.0776724217, 5.5839762124
19, 6.3137027194, 2.9356830243
20, 0.0000000000, 0.0000000000
20, 0.1583843043, 3.0901674200
20, 0.3249194029, 5.8778482293
20, 0.5095249481, 8.0901652645
20, 0.7265417171, 9.5105618829
20, 0.9999986732, 10.0000000000
20, 1.3763796163, 9.5105700830
20, 1.9626059993, 8.0901808619
20, 3.0776724217, 5.8778696973
20, 6.3137027194, 3.0901926572
21, 0.0000000000, 0.0000000000
